"age" "sex" "n"
"1" 0 "Laki-laki" 103
"2" 0 "Perempuan" 90
"3" 1 "Laki-laki" 78
"4" 1 "Perempuan" 63
"5" 2 "Laki-laki" 56
"6" 2 "Perempuan" 46
"7" 3 "Laki-laki" 39
"8" 3 "Perempuan" 48
"9" 4 "Laki-laki" 34
"10" 4 "Perempuan" 29
"11" 5 "Laki-laki" 30
"12" 5 "Perempuan" 27
"13" 6 "Laki-laki" 24
"14" 6 "Perempuan" 18
"15" 7 "Laki-laki" 30
"16" 7 "Perempuan" 22
"17" 8 "Laki-laki" 14
"18" 8 "Perempuan" 19
"19" 9 "Laki-laki" 20
"20" 9 "Perempuan" 20
"21" 10 "Laki-laki" 11
"22" 10 "Perempuan" 14
"23" 11 "Laki-laki" 16
"24" 11 "Perempuan" 17
"25" 12 "Laki-laki" 17
"26" 12 "Perempuan" 14
"27" 13 "Laki-laki" 8
"28" 13 "Perempuan" 6
"29" 14 "Laki-laki" 12
"30" 14 "Perempuan" 12
"31" 15 "Laki-laki" 12
"32" 15 "Perempuan" 5
"33" 16 "Laki-laki" 10
"34" 16 "Perempuan" 11
"35" 17 "Laki-laki" 6
"36" 17 "Perempuan" 5
"37" 18 "Laki-laki" 6
"38" 18 "Perempuan" 3
"39" 19 "Laki-laki" 1
"40" 19 "Perempuan" 2
"41" 20 "Laki-laki" 2
